AMT;TID;BEBO;INDHOLD
Rudersdal;2014;Occupied dwellings;24249
Rudersdal;2015;Occupied dwellings;24382
Province Bornholm;2010;Occupied dwellings;20481
Province Bornholm;2011;Occupied dwellings;20458
Province Bornholm;2012;Occupied dwellings;20354
Province Bornholm;2013;Occupied dwellings;20356
Province Bornholm;2014;Occupied dwellings;20282
Province Bornholm;2015;Occupied dwellings;20217
Bornholm;2010;Occupied dwellings;20481
Bornholm;2011;Occupied dwellings;20458
Bornholm;2012;Occupied dwellings;20354
Bornholm;2013;Occupied dwellings;20356
Bornholm;2014;Occupied dwellings;20282
Bornholm;2015;Occupied dwellings;20217
Christiansø;2010;Occupied dwellings;0
Christiansø;2011;Occupied dwellings;0
Christiansø;2012;Occupied dwellings;0
Christiansø;2013;Occupied dwellings;0
Christiansø;2014;Occupied dwellings;0
Christiansø;2015;Occupied dwellings;0
Region Sjælland;2010;Occupied dwellings;370897
Region Sjælland;2011;Occupied dwellings;372350
Region Sjælland;2012;Occupied dwellings;372907
Region Sjælland;2013;Occupied dwellings;374170
Region Sjælland;2014;Occupied dwellings;375471
Region Sjælland;2015;Occupied dwellings;377925
Province Østsjælland;2010;Occupied dwellings;100419
Province Østsjælland;2011;Occupied dwellings;101381
Province Østsjælland;2012;Occupied dwellings;102080
Province Østsjælland;2013;Occupied dwellings;102701
Province Østsjælland;2014;Occupied dwellings;103499
Province Østsjælland;2015;Occupied dwellings;104616
Greve;2010;Occupied dwellings;19797
Greve;2011;Occupied dwellings;19919
Greve;2012;Occupied dwellings;20225
Greve;2013;Occupied dwellings;20249
Greve;2014;Occupied dwellings;20305
Greve;2015;Occupied dwellings;20595
Køge;2010;Occupied dwellings;24401
Køge;2011;Occupied dwellings;24562
Køge;2012;Occupied dwellings;24560
Køge;2013;Occupied dwellings;24930
Køge;2014;Occupied dwellings;25241
Køge;2015;Occupied dwellings;25694
Lejre;2010;Occupied dwellings;10497
Lejre;2011;Occupied dwellings;10621
Lejre;2012;Occupied dwellings;10711
Lejre;2013;Occupied dwellings;10771
Lejre;2014;Occupied dwellings;10834
Lejre;2015;Occupied dwellings;10887
Roskilde;2010;Occupied dwellings;37080
Roskilde;2011;Occupied dwellings;37571
Roskilde;2012;Occupied dwellings;37829
Roskilde;2013;Occupied dwellings;37970
Roskilde;2014;Occupied dwellings;38243
Roskilde;2015;Occupied dwellings;38491
Solrød;2010;Occupied dwellings;8644
Solrød;2011;Occupied dwellings;8708
Solrød;2012;Occupied dwellings;8755
Solrød;2013;Occupied dwellings;8781
Solrød;2014;Occupied dwellings;8876
Solrød;2015;Occupied dwellings;8949
Province Vest- og Sydsjælland;2010;Occupied dwellings;270478
Province Vest- og Sydsjælland;2011;Occupied dwellings;270969
Province Vest- og Sydsjælland;2012;Occupied dwellings;270827
Province Vest- og Sydsjælland;2013;Occupied dwellings;271469
Province Vest- og Sydsjælland;2014;Occupied dwellings;271972
Province Vest- og Sydsjælland;2015;Occupied dwellings;273309
Faxe;2010;Occupied dwellings;15371
Faxe;2011;Occupied dwellings;15435
Faxe;2012;Occupied dwellings;15406
Faxe;2013;Occupied dwellings;15513
Faxe;2014;Occupied dwellings;15660
Faxe;2015;Occupied dwellings;15728
Guldborgsund;2010;Occupied dwellings;30546
Guldborgsund;2011;Occupied dwellings;30475
Guldborgsund;2012;Occupied dwellings;30334
Guldborgsund;2013;Occupied dwellings;30275
Guldborgsund;2014;Occupied dwellings;30361
Guldborgsund;2015;Occupied dwellings;30354
Holbæk;2010;Occupied dwellings;30596
Holbæk;2011;Occupied dwellings;30683
Holbæk;2012;Occupied dwellings;30728
Holbæk;2013;Occupied dwellings;30797
Holbæk;2014;Occupied dwellings;30772
Holbæk;2015;Occupied dwellings;30983
Kalundborg;2010;Occupied dwellings;22552
Kalundborg;2011;Occupied dwellings;22604
Kalundborg;2012;Occupied dwellings;22603
Kalundborg;2013;Occupied dwellings;22610
Kalundborg;2014;Occupied dwellings;22701
Kalundborg;2015;Occupied dwellings;22833
Lolland;2010;Occupied dwellings;23332
Lolland;2011;Occupied dwellings;23094
Lolland;2012;Occupied dwellings;22841
Lolland;2013;Occupied dwellings;22601
Lolland;2014;Occupied dwellings;22229
Lolland;2015;Occupied dwellings;22098
Næstved;2010;Occupied dwellings;37371
Næstved;2011;Occupied dwellings;37476
Næstved;2012;Occupied dwellings;37551
Næstved;2013;Occupied dwellings;37815
Næstved;2014;Occupied dwellings;38015
Næstved;2015;Occupied dwellings;38207
Odsherred;2010;Occupied dwellings;15550
Odsherred;2011;Occupied dwellings;15618
Odsherred;2012;Occupied dwellings;15620
Odsherred;2013;Occupied dwellings;15683
Odsherred;2014;Occupied dwellings;15808
Odsherred;2015;Occupied dwellings;15912
Ringsted;2010;Occupied dwellings;14389
Ringsted;2011;Occupied dwellings;14604
Ringsted;2012;Occupied dwellings;14749
Ringsted;2013;Occupied dwellings;14803
Ringsted;2014;Occupied dwellings;14815
Ringsted;2015;Occupied dwellings;14933
Slagelse;2010;Occupied dwellings;36313
Slagelse;2011;Occupied dwellings;36384
Slagelse;2012;Occupied dwellings;36443
Slagelse;2013;Occupied dwellings;36630
Slagelse;2014;Occupied dwellings;36676
Slagelse;2015;Occupied dwellings;36986
Sorø;2010;Occupied dwellings;12972
Sorø;2011;Occupied dwellings;13018
Sorø;2012;Occupied dwellings;13027
Sorø;2013;Occupied dwellings;13080
Sorø;2014;Occupied dwellings;13149
Sorø;2015;Occupied dwellings;13194
Stevns;2010;Occupied dwellings;9360
Stevns;2011;Occupied dwellings;9424
Stevns;2012;Occupied dwellings;9449
Stevns;2013;Occupied dwellings;9573
Stevns;2014;Occupied dwellings;9661
Stevns;2015;Occupied dwellings;9747
Vordingborg;2010;Occupied dwellings;22126
Vordingborg;2011;Occupied dwellings;22154
Vordingborg;2012;Occupied dwellings;22076
Vordingborg;2013;Occupied dwellings;22089
Vordingborg;2014;Occupied dwellings;22125
Vordingborg;2015;Occupied dwellings;22334
